question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
Where would you find the Eiffel Tower?,Berlin,11.481591,9.801154,-0.102568,43.798759,-28.759331,-0.057200,138.795944
Which country is known as the Land of the Rising Sun?,China,9.625421,10.577936,-0.858125,32.603661,-17.741365,-1.092166,144.898178
What is the capital of Australia?,Sydney,11.984598,7.575873,-2.456471,48.150265,-30.610867,3.579889,142.545135
Which river is the longest in the world?,Amazon,9.287402,11.155907,-0.011843,73.511520,-55.332962,0.731486,125.552559
What is the largest desert in the world?,Sahara,10.594193,10.326477,-0.764797,32.929153,-19.161915,5.814969,142.280029
Where are the ancient Pyramids of Giza located?,Mexico,13.040859,8.128007,1.236658,27.908171,-14.461725,1.442729,145.631714
What is the smallest country in the world by area?,Monaco,12.524630,8.288212,-0.040727,32.704414,-16.402164,-0.469430,136.319321
What is the name of the largest ocean on Earth?,Atlantic,10.862985,9.607249,-1.264632,32.736992,-19.457260,2.189073,145.532898
Which country gifted the Statue of Liberty to the United States?,United Kingdom,8.741064,11.787906,-0.118098,44.405548,-29.896811,2.308281,138.969971
What is the capital of Egypt?,Alexandria,10.169874,9.145802,-2.464632,28.096422,-14.989502,1.653279,145.176071
Which planet is known as the Red Planet?,Jupiter,9.884325,10.065504,-0.941330,83.309174,-63.352699,2.933109,103.978638
In which country would you find the ancient city of Petra?,Egypt,8.872211,11.667901,-0.711892,40.754959,-26.392818,-1.538867,144.009979
What is the largest mammal in the world?,African Elephant,8.772064,12.213036,-0.532321,22.665749,-8.702176,-2.508003,145.396988
Mount Everest is located on the border between which two countries?,India and China,8.400457,11.346167,-1.995841,45.437611,-28.810478,-0.451633,140.765121
Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?,Lincoln Memorial,8.360714,10.455312,0.720601,89.743866,-63.247303,-0.042916,113.770660
The Great Barrier Reef is located in which body of water?,Indian Ocean,13.508261,6.630778,-1.345610,41.152962,-26.605560,2.250727,143.538162
Which city is known for its iconic Golden Gate Bridge?,Los Angeles,9.946765,9.873734,-1.741775,58.210835,-36.591805,0.071211,120.452866
What is the name of the largest rainforest on the planet?,Congo Rainforest,10.363316,10.255468,0.783313,26.650066,-13.475950,4.706708,144.149918
