question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
In which year did Hurricane Ana occur?,2014,16.700186,4.751690,5.610946,235.676102,-141.060699,-5.299929,283.490356
In which year did epidemic of Ebola virus disease occur?,2013,15.161388,5.263221,3.836361,221.641602,-127.360855,-9.407130,262.908356
In which year did case of Ashya King concerns a boy named Ashya King occur?,2014,15.611781,3.495489,3.153917,157.966553,-83.652138,0.067851,253.701187
In which year did 67th British Academy Film Awards occur?,2014,16.790909,6.471673,4.629285,195.570984,-118.570267,-0.142118,224.492233
In which year did Cuban thaw occur?,2014,16.570362,2.554851,0.249688,166.845901,-95.878326,-2.827709,259.772797
In which year did 2014 Berlin Marathon occur?,2014,16.806555,5.545466,4.155843,220.921524,-136.593628,-5.927347,271.167725
In which year did Operation Full Disclosure occur?,2014,16.305658,4.142341,2.875353,240.960663,-139.462189,-4.810282,279.697113
In which year did Trojan Horse scandal occur?,2013,17.133617,3.950158,2.374221,240.593216,-140.032776,-12.017743,280.275421
In which year did Paris Municipal elections took place on 23 and 30 March occur?,2014,14.596322,4.775117,1.367846,78.886307,-37.033371,8.576679,207.049149
In which year did 2014 Gaza War occur?,2014,14.908895,5.802069,1.168446,192.560211,-110.054001,-1.774170,266.501373
In which year did On the morning of 18 November 2014 occur?,2014,15.154119,3.363062,2.562495,173.236847,-93.749756,-1.541345,251.036453
In which year did Marius occur?,2012,16.680130,3.682631,1.762053,244.431915,-147.801163,-3.757402,283.230652
In which year did A photograph of then-Labour Party leader Ed Miliband occur?,2014,17.565828,3.172906,2.792426,135.734314,-75.653412,-6.434381,263.555084
In which year did March in March refers to a series of marches which occur?,2014,15.713965,3.020911,0.385968,105.844925,-53.815174,-0.871563,238.332886
In which year did 2013–2014 Atlantic winter storms in Europe occur?,2013,14.852617,5.854773,2.085984,216.873596,-122.656815,-7.522561,279.772339
In which year did Conference of Western Balkan States occur?,2014,18.735348,3.783603,2.934833,214.793137,-133.726166,-8.207334,256.688049
In which year did 2014 Kalbajar incident refers to the crossing of occur?,2014,13.762435,4.072378,1.395584,153.520996,-69.381195,-2.226410,239.110352
In which year did Art Buff occur?,2014,17.907053,2.430974,2.470397,201.652893,-114.966362,-4.648053,261.236572
In which year did war on terror occur?,2003,14.378467,5.964517,3.319692,181.556046,-99.171539,-2.746947,254.254166
In which year did Hamas formation occur?,2007,16.380157,3.884953,1.038850,206.188797,-120.513847,-9.542422,274.732758
In which year did Election to the 6th convocation of the Moscow City Duma took place on the United Voting Day on September 14 occur?,2014,14.590368,5.120701,3.124826,182.497971,-95.394455,3.223869,254.339417
In which year did Abkhazian Revolution took place occur?,2014,15.622404,5.364036,0.373815,163.377777,-93.377373,-7.765611,270.791992
In which year did Organizations from around the world responded to the occur?,2014,12.083592,5.194765,-0.023251,18.123369,5.032160,1.941465,204.959183
In which year did 2014–2016 Croatian war veterans tent protest was 555 occur?,2014,12.229527,5.647236,0.955834,154.093018,-69.783005,6.489009,252.742233
In which year did Japanese whaling occur?,1890,15.015495,7.885243,3.284407,243.676025,-144.198944,-14.191971,280.091949
In which year did General elections occur?,2014,16.030653,3.807659,4.347212,35.658516,-16.292805,3.388210,181.870346
In which year did Presidential elections occur?,2014,17.498362,3.021435,1.914497,175.774902,-104.934868,-7.997990,250.170700
In which year did Simon Hall occur?,1977,14.331282,5.604390,1.202306,85.632095,-40.666943,6.485642,194.949478
In which year did Talking Statues occur?,2013,16.648197,4.983622,3.560807,233.501892,-136.774338,-11.539110,274.525543
In which year did 6th BRICS summit occur?,2010,14.854465,6.778594,4.365034,237.355988,-130.413483,-3.995043,266.018616
In which year did William Tyrrell occur?,2011,17.884550,1.859052,2.949271,205.529602,-116.868988,-1.813906,256.656006
In which year did During the ongoing Russo-Ukrainian War between the Ukrainian government forces and pro-Russian separatists in the Donbas region of Ukraine that began in April 2014 occur?,2014,14.401137,4.727868,0.656972,165.951752,-83.972542,-2.865151,250.779602
In which year did Operation Car Wash occur?,2014,19.349087,3.007534,2.562351,226.952332,-139.610748,-8.693464,230.900146
In which year did Euromaidan occur?,2013,15.581429,5.834240,2.122469,239.346985,-140.326675,-8.197310,289.229462
In which year did 2013–2014 Israeli–Palestinian peace talks occur?,2013,16.480978,3.835772,-0.783246,177.969849,-104.845062,-12.124310,235.859161
In which year did Around midday on October 22 occur?,2014,15.284527,2.719452,3.375269,90.684845,-53.612984,-0.350694,199.253738
In which year did third edition of the Champs-Élysées Film Festival occur?,2014,17.034218,6.017816,2.964544,181.312943,-109.463814,-4.192766,242.303284
In which year did following addresses the events in Northern Afghanistan occur?,2009,15.597515,2.605364,1.789755,130.233185,-80.590965,-5.693901,247.351547
In which year did 2014 Australian federal budget occur?,2014,17.275972,4.818498,3.713705,162.042450,-96.279861,-2.795830,200.993271
In which year did Report of the Commission of Inquiry on Human Rights in the Democratic People's Republic of Korea occur?,2013,17.226364,6.941620,2.159564,237.106277,-138.873749,-12.843210,270.003571
In which year did Fantastica Mania 2014 occur?,2014,16.744055,4.639993,4.530142,239.270035,-145.442810,-7.113339,275.682556
In which year did Argentine debt restructuring occur?,2005,16.505777,5.178039,0.519127,247.845093,-141.803391,-7.965021,277.680267
In which year did Toronto Rock occur?,2014,16.639206,4.242877,0.682465,129.370453,-63.608208,3.866018,232.669586
In which year did Declared in June 2014 occur?,2014,15.792020,2.785118,2.333098,145.706879,-80.968262,-1.514077,259.658478
In which year did Julieka Ivanna Dhu occur?,2014,15.515856,3.550034,4.307140,25.910208,0.245401,-2.744527,197.108429
In which year did Between 13 and 18 May a low-pressure cyclone designated Tamara and Yvette affected a large area of Southeastern and Central Europe occur?,2014,15.796012,4.847946,3.460825,204.156403,-115.105553,-7.318611,277.272614
In which year did Arturo occur?,1985,14.509348,5.018528,1.131986,177.252151,-92.203583,0.480456,253.636169
In which year did Malaysia Airlines Flight 17 occur?,2014,16.526033,6.237252,4.655512,247.592102,-147.405914,-5.166439,276.716461
In which year did Karen Petrosyan v occur?,2014,15.939685,3.486550,2.387800,80.012146,-55.442928,-3.898278,190.714630
In which year did analysis of communications between Malaysia Airlines Flight 370 and Inmarsat's satellite telecommunication network provide the primary source of information about Flight 370's location and possible in-flight events after it disappeared from military radar coverage at 2:22 Malaysia Standard Time occur?,2014,14.124497,6.134978,2.945524,204.197830,-110.950333,-4.577897,261.756775
In which year did Bulgarian protests against the Oresharski cabinet occur?,2013,17.334887,4.759286,1.427728,269.661865,-159.114471,-9.265931,281.647980
In which year did Lars Joachim Mittank occur?,1986,14.834838,4.561309,4.581316,212.936615,-123.694016,-4.855060,259.045624
In which year did concept of Targeted Poverty Alleviation occur?,2014,16.962288,4.071867,3.588876,183.413254,-108.657028,-3.231226,262.819244
In which year did US Presidential elections occur?,2014,17.779121,3.530715,2.311767,171.452545,-105.634094,-6.534405,265.154816
