question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
Where would you find the Eiffel Tower?,Paris,8.891273,-7.048301,-3.437318,32.975128,-37.290009,4.796459,155.222351
Which country is known as the Land of the Rising Sun?,Japan,7.354856,-4.646125,-4.253607,36.576645,-40.433971,0.171737,144.725815
What is the capital of Australia?,Canberra,9.786544,-7.543042,-4.342761,50.394897,-51.234703,-0.474691,145.273788
Which river is the longest in the world?,Nile,10.325336,-7.830607,-3.483446,67.897659,-64.806412,-1.859297,134.874634
What is the largest desert in the world?,Antarctic,13.028587,-8.939459,-4.247368,86.949287,-85.714005,-0.942210,132.422592
Where are the ancient Pyramids of Giza located?,Egypt,8.569607,-7.586003,-3.326585,14.523306,-16.718794,2.701658,160.288666
What is the smallest country in the world by area?,Vatican City,8.950174,-6.717130,-5.761162,83.121254,-64.902496,0.175218,130.828583
What is the name of the largest ocean on Earth?,Pacific,12.915066,-9.523607,-2.085664,17.667240,-14.544913,3.324381,141.463928
Which country gifted the Statue of Liberty to the United States?,France,9.592232,-7.151113,-3.083137,56.362946,-57.489910,-0.266866,142.369598
What is the capital of Egypt?,Cairo,8.010974,-6.141966,-3.921262,59.044308,-52.890156,2.418212,139.473709
Which planet is known as the Red Planet?,Mars,8.666708,-5.960248,-1.252744,62.419888,-61.123466,1.995040,137.688995
In which country would you find the ancient city of Petra?,Jordan,12.285054,-9.909836,-3.529319,15.918758,-10.788895,2.512415,138.076797
What is the largest mammal in the world?,Blue Whale,13.106472,-9.006925,-3.021462,91.966599,-86.578049,-0.089611,126.294739
Mount Everest is located on the border between which two countries?,Nepal and Tibet,7.373994,-5.610739,-5.069666,18.134657,-21.049156,2.675875,144.268799
Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?,Vietnam Veterans Memorial,9.577636,-6.865605,-3.935672,15.819951,-22.609465,1.886917,159.319397
The Great Barrier Reef is located in which body of water?,Pacific Ocean,10.863219,-9.591556,-3.974919,40.999512,-42.894329,1.202301,142.152466
Which city is known for its iconic Golden Gate Bridge?,San Francisco,6.617892,-3.615266,-4.268108,22.030891,-30.310633,3.223666,153.177109
What is the name of the largest rainforest on the planet?,Amazon Rainforest,11.990334,-7.831899,-4.137094,22.303228,-27.732517,1.263532,166.577499
What is the capital city of Canada?,Ottawa,11.935420,-9.258846,-4.496648,51.716358,-47.098942,2.258681,140.922577
The ancient city of Machu Picchu is in which country?,Peru,8.605675,-7.383546,-4.900067,23.875887,-24.911802,2.311868,149.174820
Which country is the Colosseum located in?,Italy,7.325243,-5.423553,-4.769956,52.398537,-47.893166,0.562248,139.763000
The currency Euro is used by how many European countries?,19,11.428511,-10.752378,-5.156596,38.383137,-41.522049,-0.174953,138.403854
What is the name of the longest river in South America?,Amazon,11.359269,-8.652232,-4.211047,21.970530,-19.083218,3.712722,142.520538
In which city can you find the Liberty Bell?,Philadelphia,11.454364,-8.978909,-3.852956,42.350399,-42.065498,1.256920,150.479477
The historical figure Napoleon Bonaparte was born on which island?,Corsica,7.309867,-4.947332,-3.433932,31.105961,-34.825176,2.549361,147.189514
What is the capital of Spain?,Madrid,10.293195,-8.569289,-4.644464,13.382778,-8.342258,2.842591,138.873093
In which country is the Taj Mahal located?,India,8.382956,-6.884148,-4.623534,80.410568,-65.778076,-0.321952,127.087799
Which country is famous for its fjords?,Norway,11.825361,-8.542145,-3.829200,41.067364,-48.279510,2.961460,149.734024
The ancient Acropolis is located in which city?,Athens,8.751195,-6.902361,-2.344341,31.290867,-31.929138,3.051631,147.550339
What is the name of the largest continent?,Asia,9.967011,-7.600764,-3.527641,13.518536,-9.904135,3.277515,135.803314
Which of these cities is not a national capital?,Sydney,8.761501,-5.748458,-3.378991,38.586288,-41.434635,3.275702,145.929077
The Panama Canal connects which two oceans?,Pacific and Atlantic,11.819399,-10.159411,-3.454538,30.148029,-31.596180,0.621096,150.048538
What is the name of the world's largest coral reef system?,Great Barrier Reef,12.343328,-9.164366,-3.239363,16.925528,-16.214909,3.216731,143.722565
Which city is known as the Big Apple?,New York City,7.277224,-4.571862,-3.419286,40.398117,-43.964512,2.809436,145.757843
The Mona Lisa is housed in which museum?,The Louvre,5.236606,-4.677835,-2.691064,39.774784,-38.411446,0.550515,140.151810
Which country is the origin of the car brand Volvo?,Sweden,9.783477,-7.948985,-4.927083,25.792486,-28.487753,3.148467,147.016785
Which city is known as the 'Venice of the North'?,Amsterdam,12.135480,-8.272801,-2.820049,32.172688,-32.469048,0.807227,158.815475
What is the most populous city in the world?,Tokyo,10.525768,-7.098279,-4.576367,15.551862,-14.142486,3.996250,142.575470
What is the name of the highest uninterrupted waterfall in the world?,Angel Falls,15.279421,-12.291430,-3.242546,18.643301,-18.604551,2.451764,146.589951
What is the capital of Brazil?,Brasília,8.731973,-7.080784,-4.700466,15.950951,-12.186907,3.883376,139.802017
Which country is known for constructing the Panama Canal?,United States,9.334091,-7.740714,-4.578270,13.109097,-12.292282,3.904571,139.029327
Which country is the largest by area?,Russia,9.723060,-7.620155,-5.432862,48.307930,-44.783768,1.539779,141.821533
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,7.436580,-5.182452,-3.320789,17.108929,-6.633233,2.648375,135.626785
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,8.554916,-5.888180,-4.244008,23.201492,-24.977657,2.867256,142.197449
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,10.242579,-7.483264,-1.985631,25.620136,-26.367687,2.174852,144.741501
The Great Wall of China is approximately how long?,"21,000 km",11.239252,-10.650615,-3.899885,94.729630,-81.203461,-0.146153,125.091026
Which country is the Serengeti National Park located in?,Tanzania,8.466957,-7.080748,-5.969239,30.829489,-35.141335,2.880074,144.696365
What is the largest island in the world?,Greenland,12.193965,-8.374454,-3.967238,44.555889,-47.604576,3.327225,150.277924
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,10.168783,-6.738228,-1.742507,28.483496,-34.608498,1.847871,152.155670
The historical landmark Stonehenge is located in which country?,England,8.148626,-6.975519,-4.636430,17.647772,-8.330320,1.539359,133.846100
Which river flows through the Grand Canyon?,Colorado River,11.537370,-9.696024,-3.961781,17.067337,-13.735344,2.669729,143.337418
The city of Istanbul spans two continents: Asia and which other?,Europe,10.589280,-7.905555,-3.530487,17.300009,-13.652341,2.981340,141.851151
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,8.039189,-6.723109,-4.987799,52.707172,-45.298874,2.865022,139.374817
Which city is known for the creation of the original Olympic Games?,Olympia,9.146205,-5.935639,-2.594913,31.768547,-30.624506,-0.152662,149.866486
What is the capital of the U.S. state of Georgia?,Atlanta,9.855615,-8.187530,-4.408016,13.942926,-9.218889,2.710725,141.534027
Which South American country is named after the Italian city of Venice?,Venezuela,9.003833,-6.374693,-3.857727,41.126163,-33.580242,1.958238,148.609848
The historic site Alcatraz Island is located in which U.S. state?,California,8.353370,-7.270161,-5.390940,23.313881,-23.837799,0.717686,143.257584
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,8.028785,-5.361437,-3.121520,25.718611,-22.733173,3.536051,141.658066
Which Asian city is also known as the 'Pearl of the Orient'?,Hong Kong,10.141064,-7.449565,-4.145527,37.801910,-35.141472,3.012198,138.922287
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,11.891245,-10.265317,-2.389157,68.609085,-55.969627,2.267430,134.612717
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,8.114475,-6.305240,-1.931766,24.148586,-27.095978,0.924780,145.152161
"The Nobel Prizes are awarded in Stockholm, Sweden in all categories except one, which is awarded in Oslo, Norway. Which category is it?",Peace,14.388411,-12.912487,-3.153715,42.345608,-45.344570,1.258099,144.680954
What is the name of the currency used in Japan?,Yen,9.677919,-7.450043,-5.350075,57.520725,-51.302906,1.310160,134.312317
Which animal is known as the 'Ship of the Desert'?,Camel,9.307204,-6.673111,-2.793860,19.300232,-22.691868,2.775146,158.750092
