question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
Who wrote the play 'Romeo and Juliet'?,Charles Dickens,11.497391,7.329478,0.983104,26.478210,-13.729202,-1.331581,145.423889
Which author is known for the novel '1984'?,Aldous Huxley,4.662061,13.882915,3.395933,15.668209,-2.089567,-1.558565,148.823029
Who wrote 'Pride and Prejudice'?,Emily Bronte,12.558404,7.464848,0.722266,28.418625,-15.389858,-4.056269,145.367844
Which author is famous for the series 'A Song of Ice and Fire'?,J.K. Rowling,9.773591,8.185634,2.941481,24.117943,-10.095972,0.266696,148.005371
Who is the creator of the character Sherlock Holmes?,Agatha Christie,12.676379,7.949640,2.461645,50.165089,-35.091965,1.880052,136.146133
Who wrote 'The Great Gatsby'?,Ernest Hemingway,11.601357,7.708821,1.230839,21.095388,-7.428698,1.349797,146.408936
Who is the author of 'To Kill a Mockingbird'?,Truman Capote,12.261858,7.324745,1.938010,16.480471,-1.844979,5.092835,148.284622
Who penned 'The Hobbit' and 'The Lord of the Rings' series?,J.K. Rowling,9.369715,11.004382,1.988912,20.445635,-7.763674,-1.090608,145.048752
Which author wrote 'Moby-Dick'?,Edgar Allan Poe,11.229012,8.000241,2.252501,21.606348,-0.816093,-0.748552,134.316986
Who is the writer of 'One Hundred Years of Solitude'?,Julio Cortazar,12.721190,6.445560,1.137855,26.749584,-13.507046,-0.238772,144.152756
Which writer is known for 'The Chronicles of Narnia' series?,J.R.R. Tolkien,9.995905,8.881703,3.460961,17.884735,-4.170433,-0.944595,143.290894
Who wrote 'Crime and Punishment'?,Leo Tolstoy,13.203256,5.527730,0.145660,33.435150,-19.178446,2.604079,144.552780
Who is the author of 'Jane Eyre'?,Emily Bronte,11.729270,8.245165,0.888819,18.756388,-3.641683,5.721104,146.945770
Who is recognized for writing 'The Catcher in the Rye'?,F. Scott Fitzgerald,10.622524,8.346014,2.247096,22.098721,-8.352264,1.296710,143.902298
Who is the author of 'Les Misérables'?,Alexandre Dumas,11.624233,7.992604,1.659277,52.264019,-35.925697,-4.942830,138.372513
Which author wrote the dystopian novel 'Brave New World'?,Philip K. Dick,12.613435,6.055408,1.358829,30.182755,-12.878529,-2.248908,134.562347
Who wrote 'The Picture of Dorian Gray'?,Charles Dickens,10.722238,8.712896,1.982031,25.952698,-14.068344,-0.332935,144.721756
Who is the author of the play 'A Streetcar Named Desire'?,Arthur Miller,10.544127,8.431263,2.785895,56.792969,-36.899334,-0.546159,123.535202
Who wrote the science fiction novel 'Dune'?,Arthur C. Clarke,11.235662,8.418824,1.799147,37.435463,-24.119984,-0.560334,142.116226
