question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
Who wrote the play 'Romeo and Juliet'?,Charles Dickens,18.049147,4.117697,7.245779,284.302734,-161.921356,5.308908,289.133484
Which author is known for the novel '1984'?,Aldous Huxley,17.937574,4.257073,3.598720,290.671967,-169.117691,4.393944,277.283997
Who wrote 'Pride and Prejudice'?,Emily Bronte,19.200779,5.074900,2.517225,297.721649,-163.958435,-4.816599,293.762146
Which author is famous for the series 'A Song of Ice and Fire'?,J.K. Rowling,15.321475,5.615098,5.217188,252.365967,-155.115936,0.729908,273.967712
Who is the creator of the character Sherlock Holmes?,Agatha Christie,20.070822,0.003269,2.445444,275.514130,-167.548981,-0.004954,259.144928
Who wrote 'The Great Gatsby'?,Ernest Hemingway,17.552660,6.202011,4.888822,230.468079,-133.981720,3.157227,270.405212
Who is the author of 'To Kill a Mockingbird'?,Truman Capote,20.103411,4.311551,2.202705,271.664398,-161.211258,-13.092362,281.332001
Who penned 'The Hobbit' and 'The Lord of the Rings' series?,J.K. Rowling,12.797902,9.271788,0.487713,237.684937,-124.938072,-4.287973,245.849228
Which author wrote 'Moby-Dick'?,Edgar Allan Poe,21.339363,2.468717,10.001802,305.885559,-179.685730,1.094884,260.488464
Who is the writer of 'One Hundred Years of Solitude'?,Julio Cortazar,18.339930,6.037024,3.945715,307.052979,-183.135101,5.731269,258.459015
Which writer is known for 'The Chronicles of Narnia' series?,J.R.R. Tolkien,15.805284,7.702842,1.963606,206.911575,-118.973129,5.654474,243.754578
Who wrote 'Crime and Punishment'?,Leo Tolstoy,14.263439,9.248960,11.877378,184.162216,-98.335587,2.402539,231.896729
Who is the author of 'Jane Eyre'?,Emily Bronte,15.223547,7.026389,5.829606,255.660202,-138.136902,-1.042235,280.102448
Who is recognized for writing 'The Catcher in the Rye'?,F. Scott Fitzgerald,24.642385,-0.290319,5.553021,153.227036,-94.471184,6.380715,194.472748
Who is the author of 'Les Misérables'?,Alexandre Dumas,18.829136,4.134172,10.471104,206.759613,-119.246536,-0.110303,279.989441
Which author wrote the dystopian novel 'Brave New World'?,Philip K. Dick,14.176981,7.399599,5.661123,159.601501,-88.435234,6.096038,206.860184
Who wrote 'The Picture of Dorian Gray'?,Charles Dickens,14.952495,10.506401,7.920439,270.422913,-161.969910,-1.288613,291.723206
Who is the author of the play 'A Streetcar Named Desire'?,Arthur Miller,17.543808,10.707973,8.408845,57.820557,-26.277218,-1.204911,212.795334
Who wrote the science fiction novel 'Dune'?,Arthur C. Clarke,17.347361,4.045678,6.720162,238.878189,-136.768753,-6.805957,276.695435
Which Nigerian author wrote 'Things Fall Apart'?,Wole Soyinka,19.350010,1.481279,8.785588,278.002014,-185.153366,-3.897738,289.127136
Who is the Chilean poet who won the Nobel Prize in Literature in 1971?,Gabriela Mistral,13.268472,5.902895,5.124859,334.712402,-195.270905,0.939493,295.215332
Who wrote the existentialist novel 'The Stranger'?,Jean-Paul Sartre,15.731198,6.107239,10.659326,290.160461,-165.463135,1.487998,302.343933
Which Indian author is known for the book 'Midnight's Children'?,Arundhati Roy,14.739331,5.745181,5.850592,215.563858,-110.899933,-0.597345,287.983521
Who is the Canadian author of 'The Handmaid's Tale'?,Alice Munro,19.726990,2.085514,4.218431,194.090561,-123.430290,10.660663,269.207092
Which American author wrote the short story 'The Lottery'?,Flannery O'Connor,22.428684,-3.084462,8.226719,201.448883,-125.957756,1.689624,242.702393
Who is the British author of the fantasy series 'His Dark Materials'?,Terry Pratchett,16.680439,4.164457,7.326699,235.620270,-159.090652,-7.344182,267.842743
