question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
Where would you find the Eiffel Tower?,Berlin,20.077990,0.584679,1.389012,306.216492,-172.095551,2.174816,257.834869
Which country is known as the Land of the Rising Sun?,China,15.747778,7.281946,-3.060200,293.253723,-175.220856,3.011597,255.121750
What is the capital of Australia?,Sydney,19.348095,5.613210,-4.941982,213.761841,-121.112099,9.546653,220.863068
Which river is the longest in the world?,Amazon,17.338814,3.068953,-5.881895,268.083893,-146.270248,4.173274,247.073120
What is the largest desert in the world?,Sahara,17.181339,5.813022,-1.074903,158.428375,-92.152939,-4.894002,177.348343
Where are the ancient Pyramids of Giza located?,Mexico,19.064699,1.614719,-0.134574,273.951294,-182.674515,-0.271724,253.215225
What is the smallest country in the world by area?,Monaco,17.948038,2.611623,-2.601834,188.976715,-90.900864,7.822364,257.894257
What is the name of the largest ocean on Earth?,Atlantic,20.589144,5.327048,-4.457972,230.495209,-129.787521,-1.825960,219.788666
Which country gifted the Statue of Liberty to the United States?,United Kingdom,18.255695,5.676623,1.502845,106.727562,-73.061874,10.883351,261.753845
What is the capital of Egypt?,Alexandria,20.428423,3.723838,-4.381164,190.079636,-114.836746,11.533660,205.674164
Which planet is known as the Red Planet?,Jupiter,18.302801,7.373025,-3.626204,273.011139,-158.612762,0.606104,266.265564
In which country would you find the ancient city of Petra?,Egypt,20.769598,3.031960,-1.011535,302.191498,-178.589203,6.142868,261.273224
What is the largest mammal in the world?,African Elephant,21.094240,1.904077,-3.690528,285.604706,-170.992950,-5.427577,270.602875
Mount Everest is located on the border between which two countries?,India and China,17.726625,4.288394,-4.255507,289.790222,-182.596252,6.651959,248.965530
Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?,Lincoln Memorial,15.646739,3.549397,-2.378378,226.355438,-135.674820,4.580081,271.425537
The Great Barrier Reef is located in which body of water?,Indian Ocean,23.251795,0.667316,-2.120862,279.387634,-165.580399,-6.369383,270.383118
Which city is known for its iconic Golden Gate Bridge?,Los Angeles,20.614225,3.259663,-0.111112,297.974091,-171.708893,8.076353,265.912842
