question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
In which year did the Russian rocket star contest take place?,2023,11.932074,-10.990827,-4.611279,22.128899,-20.702513,2.829997,143.793365
In which year did 80th Golden Globe Awards honored the best in take place?,2022,10.740953,-10.724209,-2.472353,7.697539,-8.397846,3.317164,146.149872
In which year did 16th Houston Film Critics Society Awards were announced take place?,2023,11.879164,-11.915845,-3.500577,9.126511,-13.016367,1.987736,148.996078
In which year did 28th Critics' Choice Awards were presented on January take place?,2023,12.834497,-12.469368,-3.334498,14.072027,-10.399277,2.753449,133.321899
In which year did Local elections are being held in four municipalities in Congo take place?,2023,12.176547,-11.207047,-4.204850,27.912273,-31.773252,3.219427,141.483322
In which year did Abel concert and rally took place together take place?,2023,11.289367,-10.909628,-3.907101,12.790599,-10.761589,3.722734,141.102127
In which year did the national sky diving event described take place?,2023,11.448932,-10.530066,-3.878285,15.729432,-16.686823,3.506221,144.767426
In which year did removal of Indonesia as FIFA U-20 World Cup take place?,2023,11.055597,-10.334494,-4.084286,10.753573,-11.057002,4.954422,152.404190
In which year did 2023 Chinese military exercises around Taiwan take place?,2023,8.660583,-7.712041,-4.268196,15.233018,-19.824068,2.353286,151.559952
In which year did the meteor crashing on Earth take place?,2022,11.171228,-9.758932,-3.670815,30.760489,-27.216581,2.306637,142.632095
In which year did floods in South Africa take place?,2023,11.355199,-10.569695,-3.982807,22.522215,-22.302471,3.499046,146.700943
In which year did 2023 Backlash is the upcoming 18th Backlash professional take place?,2023,7.720350,-6.555806,-4.118946,8.883615,-4.632578,3.073858,142.023727
In which year did An ongoing refugee crisis began in Africa take place?,2023,11.979472,-10.738342,-5.116606,74.358650,-59.788559,4.613028,133.192276
In which year did 35th Lo Nuestro Awards were held at the take place?,2023,12.542460,-12.589121,-2.885244,10.271131,-7.010638,2.608158,135.928589
In which year did 6th Hollywood Critics Association Film Awards take place?,2023,12.273390,-12.299258,-3.176401,52.087791,-46.806610,0.195465,140.147125
In which year did Rey de Reyes Art competition take place?,2023,11.889185,-11.464705,-3.600190,12.340718,-11.666447,2.945600,141.518372
In which year did DFB-Pokal Final was cancelled take place?,2023,10.970305,-10.321453,-5.192366,12.041194,-10.386586,3.251045,139.591461
In which year did 2023 All In take place?,2023,7.969860,-6.937011,-4.534823,9.035536,-5.009742,3.356063,142.651062
In which year did Berlin 2030 klimaneutral take place?,2030,10.592804,-10.424438,-3.756538,35.475430,-32.113903,1.360705,142.942368
In which year did Battle of Khartoum is an ongoing battle take place?,2023,11.044817,-10.328984,-4.620182,10.720893,-7.428957,3.338997,138.737839
In which year did 95th Academy Awards was a ceremony held by Portugal take place?,2023,12.555704,-12.706790,-3.099916,12.076367,-8.786704,2.840329,136.395966
In which year did Dark Angel is an American thrash metal band take place?,1981,11.225451,-10.333042,-3.815584,10.350434,-6.675365,2.893847,140.842133
