question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
In which year did Hurricane Ana occur?,2014,11.174870,-9.911073,4.644551,11.420816,-7.073112,0.569620,134.856537
In which year did epidemic of Ebola virus disease occur?,2013,11.071951,-10.433440,4.527026,10.265745,-6.043456,0.455497,132.540863
In which year did case of Ashya King concerns a boy named Ashya King occur?,2014,12.038575,-11.738059,4.277384,8.195085,-9.395446,-0.740835,144.699585
In which year did 67th British Academy Film Awards occur?,2014,12.370538,-12.062123,5.469705,15.176792,-12.066276,0.370181,132.141022
In which year did Cuban thaw occur?,2014,11.110618,-10.493125,5.800019,11.482755,-9.462208,0.325300,143.519638
In which year did 2014 Berlin Marathon occur?,2014,8.141953,-7.430874,5.063895,12.448824,-9.478366,0.189836,139.144226
In which year did Operation Full Disclosure occur?,2014,10.631680,-9.457954,4.994329,9.552729,-8.441643,0.329346,146.084946
In which year did Trojan Horse scandal occur?,2013,11.057116,-10.370552,3.763916,9.681595,-6.641488,0.238199,140.986038
In which year did Paris Municipal elections took place on 23 and 30 March occur?,2014,11.608466,-11.363509,4.700862,9.117135,-7.995076,-0.157244,140.499695
In which year did 2014 Gaza War occur?,2014,7.790726,-6.813774,4.146254,32.459694,-29.706663,1.425643,142.592697
In which year did On the morning of 18 November 2014 occur?,2014,8.503040,-7.786690,4.375240,9.264036,-5.801292,-0.239011,142.155563
In which year did Marius occur?,2012,11.701488,-11.139937,4.690344,15.414227,-12.587368,0.558481,144.453598
In which year did A photograph of then-Labour Party leader Ed Miliband occur?,2014,10.293995,-9.927417,5.291852,9.518289,-6.482892,0.370469,140.625595
In which year did March in March refers to a series of marches which occur?,2014,10.813038,-10.390489,4.372319,14.916397,-6.298851,0.844065,135.631393
In which year did 2013–2014 Atlantic winter storms in Europe occur?,2013,10.527874,-9.228342,3.820618,11.229137,-7.335781,0.092890,135.947342
In which year did Conference of Western Balkan States occur?,2014,10.669910,-9.877916,4.872296,8.840714,-5.525688,0.483499,136.316956
In which year did 2014 Kalbajar incident refers to the crossing of occur?,2014,7.006084,-6.275154,4.170356,19.600319,-20.895039,0.008022,145.050980
