question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
Who wrote the play 'Romeo and Juliet'?,William Shakespeare,13.648131,8.518713,-2.310450,289.633301,-156.398651,-9.095253,284.687958
Which author is known for the novel '1984'?,George Orwell,9.743868,12.450779,-0.466141,286.200562,-152.854446,-0.507114,276.367981
Who wrote 'Pride and Prejudice'?,Jane Austen,11.265273,13.010406,-3.425848,282.474426,-150.590057,11.149263,289.175232
Which author is famous for the series 'A Song of Ice and Fire'?,George R.R. Martin,12.894656,8.041918,0.890897,246.042999,-144.363205,-4.077337,254.877533
Who is the creator of the character Sherlock Holmes?,Arthur Conan Doyle,10.734818,9.339273,-2.845195,257.660400,-145.790390,-9.901978,275.884003
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,16.372997,7.381675,-2.936163,308.977356,-178.893158,2.119124,282.345428
Who is the author of 'To Kill a Mockingbird'?,Harper Lee,8.814574,15.600388,-4.818555,335.061707,-186.068451,-11.621330,296.764557
Who penned 'The Hobbit' and 'The Lord of the Rings' series?,Tolkien,17.913456,4.156235,-3.004145,221.628754,-140.210190,4.904167,249.806732
Which author wrote 'Moby-Dick'?,Herman Melville,17.656147,6.151933,-3.640756,274.427124,-159.047943,5.375221,279.326477
Who is the writer of 'One Hundred Years of Solitude'?,Gabriel Garcia Marquez,10.448729,13.928226,0.941911,277.173981,-161.122559,3.456040,293.596863
Which writer is known for 'The Chronicles of Narnia' series?,C.S. Lewis,15.021472,8.486653,0.402914,235.202850,-130.299042,1.832789,282.271515
Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky,12.923980,10.588419,-4.991210,311.957947,-173.524826,1.449312,299.315796
Who is the author of 'Jane Eyre'?,Charlotte Bronte,12.643554,9.606382,-4.052136,190.414856,-103.306381,-8.547834,272.989410
Who is recognized for writing 'The Catcher in the Rye'?,J.D. Salinger,16.132835,8.219231,-6.060173,252.459351,-145.065552,-4.190169,286.985779
Who is the author of 'Les Misérables'?,Victor Hugo,9.220210,13.743097,-1.524487,203.244598,-127.515350,-1.165323,264.713013
Which author wrote the dystopian novel 'Brave New World'?,Aldous Huxley,9.532300,12.044280,0.325213,296.631805,-160.705139,4.536702,282.956146
Who wrote 'The Picture of Dorian Gray'?,Oscar Wilde,12.983487,12.475409,-3.840688,250.253281,-144.074768,-0.391440,285.448700
Who is the author of the play 'A Streetcar Named Desire'?,Tennessee Williams,8.362675,19.889107,-1.887603,271.438202,-145.876434,5.449248,290.539429
Who wrote the science fiction novel 'Dune'?,Frank Herbert,9.036906,12.356134,2.057158,273.163300,-146.751312,-0.190973,266.086456
Which Nigerian author wrote 'Things Fall Apart'?,Chinua Achebe,15.876253,4.955036,-3.498845,284.889862,-182.607635,-0.934320,264.316376
Who is the Chilean poet who won the Nobel Prize in Literature in 1971?,Pablo Neruda,13.064579,6.106788,-2.427599,331.408386,-164.922775,1.962049,295.053131
Who wrote the existentialist novel 'The Stranger'?,Albert Camus,7.637879,14.200558,-4.570147,295.718994,-162.363220,1.717844,295.937408
Which Indian author is known for the book 'Midnight's Children'?,Salman Rushdie,18.486832,1.997680,-1.750967,314.567566,-201.041992,-3.840513,285.244965
Who is the Canadian author of 'The Handmaid's Tale'?,Margaret Atwood,8.426427,13.386078,-5.410925,213.273376,-112.745872,0.090288,276.642761
Which American author wrote the short story 'The Lottery'?,Shirley Jackson,12.777245,6.566976,-7.255076,94.707001,-41.749863,-7.197657,219.141022
Who is the British author of the fantasy series 'His Dark Materials'?,Philip Pullman,12.274616,8.570281,-0.539858,285.128357,-164.166428,-6.625602,283.253082
Which poet wrote 'The Love Song of J. Alfred Prufrock'?,T.S. Eliot,16.400393,4.777401,-3.777257,257.512634,-167.001831,-6.817025,277.503235
Who wrote the magical realism novel 'Like Water for Chocolate'?,Laura Esquivel,17.650764,2.579597,-3.700090,210.046692,-113.377014,-16.776655,288.484650
What Japanese author is known for the novel 'Norwegian Wood'?,Haruki Murakami,15.227599,5.389245,-1.332837,293.009705,-190.030807,-13.341536,270.980316
Which author wrote the classic novel 'Don Quixote'?,Miguel de Cervantes,10.253753,12.398183,-2.634798,279.969147,-144.449097,-0.199464,269.218933
Who is the South African Nobel Laureate author of 'Disgrace'?,J.M. Coetzee,16.512978,0.844693,-2.571621,253.835342,-148.885712,-1.735748,264.921112
Who wrote the science fiction novel 'Neuromancer'?,William Gibson,10.335211,11.144477,0.326342,259.812378,-132.505341,-17.918865,257.023468
What Irish-born writer is famous for the play 'Waiting for Godot'?,Samuel Beckett,15.062136,6.130511,-0.270601,266.964600,-163.683640,-3.808347,264.512878
"Which author, known for 'The Color Purple', won the Pulitzer Prize for Fiction in 1983?",Alice Walker,12.212894,8.366739,-0.842835,115.489738,-58.916626,-0.183605,237.864838
Who wrote the influential feminist work 'The Second Sex'?,Simone de Beauvoir,10.097079,14.338879,-2.082018,282.395203,-159.377548,5.883038,308.377625
What Russian author is best known for 'War and Peace'?,Leo Tolstoy,18.014297,2.679030,-4.480527,257.965088,-154.216217,-8.036137,269.692566
Which Australian author is known for the novel 'The Book Thief'?,Markus Zusak,18.109463,2.262812,-4.457934,280.562744,-168.984436,-0.825948,252.515137
What poet is famous for the collection 'Leaves of Grass'?,Walt Whitman,9.451404,12.436928,-4.299376,305.261902,-173.508438,-17.436485,290.570740
Who is the Egyptian Nobel Prize-winning author of 'Palace Walk'?,Naguib Mahfouz,18.932768,-0.574187,-3.254489,184.969116,-118.628479,-9.635120,267.894165
"The author of 'One Hundred Years of Solitude', Gabriel Garcia Marquez, hailed from which country?",Colombia,14.664719,7.499046,-4.308105,270.964233,-158.622269,8.514428,271.121918
"Who wrote the historical fiction novel 'I, Claudius'?",Robert Graves,11.931883,6.256567,-1.953488,225.745087,-141.781006,-5.927547,279.958344
Which author is famous for the 'Foundation' series of science fiction books?,Isaac Asimov,9.534973,12.014178,0.172729,266.327637,-137.829895,0.467919,272.632294
Who is the prolific British fantasy author of 'Discworld' series?,Terry Pratchett,6.931387,14.048878,2.672742,231.847351,-129.907104,-8.541769,282.727356
The novel 'The Shadow of the Wind' was written by which Spanish author?,Carlos Ruiz Zafón,16.876991,4.055378,-1.087163,255.716614,-156.864380,-5.947105,262.480499
"Which Kenyan author wrote 'Weep Not, Child'?",Ngũgĩ wa Thiong'o,16.306322,1.896456,-3.482679,218.330505,-146.029999,-0.305473,279.017975
"Who wrote 'The Master and Margarita', a famous Soviet-era novel?",Mikhail Bulgakov,18.952385,3.599309,-0.011180,292.091614,-176.277191,3.352626,280.785797
Which French author is known for the series of novels 'Les Rougon-Macquart'?,Émile Zola,20.452988,-0.058977,-1.577438,255.461884,-169.375443,1.846349,287.184052
The book 'The Little Prince' was written by which author?,Antoine de Saint-Exupéry,13.704347,7.864322,-3.513811,251.475418,-139.706345,-5.682099,274.076538
Which American author is well-known for her novel 'The Joy Luck Club'?,Amy Tan,15.871502,4.413438,-2.295065,248.394012,-140.667969,6.201455,272.166870
"Who is the author of 'Invisible Man', a powerful novel about African-American identity?",Ralph Ellison,12.552618,10.196525,-4.460526,336.130829,-181.676682,-1.895566,268.340179
Which author created the detective character Hercule Poirot?,Agatha Christie,18.184019,1.216318,-2.480608,291.798798,-183.060699,-2.627307,253.894592
"The writer of 'The Chronicles of Narnia', C.S. Lewis, was born in which country?",Ireland,17.705547,4.909883,-3.645566,176.054962,-96.837723,3.966990,246.222427
Who authored 'The Hitchhiker's Guide to the Galaxy'?,Douglas Adams,7.082431,16.862785,1.459287,243.757812,-139.526123,-10.504971,284.657349
Which author wrote 'Their Eyes Were Watching God'?,Zora Neale Hurston,11.874782,13.440863,-3.810379,234.423218,-144.575882,-2.797608,309.549927
Which poet wrote the epic 'Paradise Lost'?,John Milton,13.002034,7.854830,-2.974959,291.129883,-181.286789,-0.891101,276.934021
Which author wrote 'The Bluest Eye' and won the Nobel Prize for Literature in 1993?,Toni Morrison,15.237281,9.872040,-0.503635,274.841064,-141.195496,-9.013379,282.712402
Who is the Canadian author of 'Life of Pi'?,Yann Martel,20.867085,-0.227572,-4.299403,224.037628,-135.257217,0.430828,262.289795
"The author of 'Crime and Punishment', Fyodor Dostoevsky, was from which country?",Russia,13.446548,8.136324,-4.378158,264.569824,-156.771606,9.718461,275.405579
Which author is known for writing the novel 'Frankenstein'?,Mary Shelley,12.106864,10.117652,-1.546602,291.581726,-169.266068,-5.895104,272.862732
