question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
Where would you find the Eiffel Tower?,Paris,15.200840,5.461827,-6.578281,284.795319,-162.148071,0.868877,254.094025
Which country is known as the Land of the Rising Sun?,Japan,12.096037,10.933687,-0.831814,296.516968,-153.780457,-1.656225,265.412384
What is the capital of Australia?,Canberra,20.388584,4.572721,-6.326879,324.713806,-195.293655,11.801613,313.517029
Which river is the longest in the world?,Nile,19.182232,1.225535,-2.214064,138.197174,-82.640526,-5.122972,180.126175
What is the largest desert in the world?,Antarctic,18.558395,4.435965,-0.237713,242.474014,-142.099655,7.488744,274.672058
Where are the ancient Pyramids of Giza located?,Egypt,16.748016,3.931402,-5.781646,266.208618,-150.629257,8.142261,256.367889
What is the smallest country in the world by area?,Vatican City,16.315680,4.243982,-1.818386,216.317520,-112.852463,-1.595894,259.644073
What is the name of the largest ocean on Earth?,Pacific,17.170452,8.745739,-5.834503,250.158951,-132.605240,0.986743,242.930588
Which country gifted the Statue of Liberty to the United States?,France,10.478915,13.453404,-1.741051,228.389954,-116.725899,3.848133,244.242065
What is the capital of Egypt?,Cairo,19.034584,5.117675,-6.553094,241.830734,-137.671143,2.322556,227.531845
Which planet is known as the Red Planet?,Mars,16.131525,9.544301,-1.561678,272.092194,-151.160385,1.969325,243.485718
In which country would you find the ancient city of Petra?,Jordan,15.710711,8.090845,-0.304347,326.828918,-188.355438,9.946895,270.474640
What is the largest mammal in the world?,Blue Whale,17.492138,5.506180,-1.765298,275.162415,-156.311569,-7.774061,291.072937
Mount Everest is located on the border between which two countries?,Nepal and Tibet,13.617339,8.397681,-2.537277,271.472717,-168.972168,2.803241,274.480591
Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?,Vietnam Veterans Memorial,12.882579,6.313557,1.111996,120.595978,-56.798252,-2.627613,242.235413
The Great Barrier Reef is located in which body of water?,Pacific Ocean,16.993895,6.925217,-3.809647,272.206055,-158.307831,7.234309,252.537323
Which city is known for its iconic Golden Gate Bridge?,San Francisco,13.028574,10.845314,-1.021210,271.060059,-135.319229,1.031518,272.473846
What is the name of the largest rainforest on the planet?,Amazon Rainforest,16.959089,8.842921,-5.656120,188.402710,-98.578934,-1.369820,177.602921
What is the capital city of Canada?,Ottawa,16.915112,9.241556,-5.919113,326.376282,-177.910751,5.165109,297.197754
The ancient city of Machu Picchu is in which country?,Peru,19.162165,6.384162,-3.602992,207.632858,-120.894547,-0.695085,207.315399
Which country is the Colosseum located in?,Italy,11.518607,11.997211,-2.052465,263.618256,-139.930435,0.662730,241.811783
The currency Euro is used by how many European countries?,19,17.601467,4.427280,0.036082,228.286163,-134.088959,3.643888,272.572571
What is the name of the longest river in South America?,Amazon,18.511333,4.848255,-1.374642,275.687988,-145.236603,-1.168203,231.053101
In which city can you find the Liberty Bell?,Philadelphia,15.205174,5.733117,-2.709406,71.930527,-30.662544,-5.398823,206.588120
The historical figure Napoleon Bonaparte was born on which island?,Corsica,18.571041,3.013493,-4.164750,187.828156,-113.485168,3.243910,241.833099
What is the capital of Spain?,Madrid,18.066795,6.496037,-6.035068,225.899185,-125.532166,0.653808,238.925079
In which country is the Taj Mahal located?,India,15.081432,7.766370,-2.391943,269.336334,-147.593826,6.820511,248.952789
