question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
Who wrote the play 'Romeo and Juliet'?,Charles Dickens,12.812666,-9.956916,-1.114813,19.367376,-15.210980,1.498124,143.996124
Which author is known for the novel '1984'?,Aldous Huxley,7.350221,-4.967173,-1.595268,73.736977,-62.015362,-1.775222,128.247055
Who wrote 'Pride and Prejudice'?,Emily Bronte,13.658597,-10.604868,-0.794107,51.342724,-47.926495,1.187565,146.853546
Which author is famous for the series 'A Song of Ice and Fire'?,J.K. Rowling,8.435583,-6.113814,-1.349437,22.949785,-23.691956,2.639214,147.755692
Who is the creator of the character Sherlock Holmes?,Agatha Christie,13.429859,-11.281589,-1.143946,68.129173,-67.542320,0.949290,136.144928
Who wrote 'The Great Gatsby'?,Ernest Hemingway,12.133775,-9.614090,-1.628845,27.746782,-27.134380,2.283289,151.422501
Who is the author of 'To Kill a Mockingbird'?,Truman Capote,12.218773,-8.883997,-0.035198,39.081799,-37.957729,-1.368111,142.739182
Who penned 'The Hobbit' and 'The Lord of the Rings' series?,J.K. Rowling,7.991327,-4.747987,-0.778842,41.566124,-43.759003,2.281328,146.718491
Which author wrote 'Moby-Dick'?,Edgar Allan Poe,13.159841,-10.363697,-1.068256,84.131844,-66.353661,-0.071792,132.574997
Who is the writer of 'One Hundred Years of Solitude'?,Julio Cortazar,12.576732,-8.543568,0.494229,74.772865,-68.047470,-0.026564,129.113419
Which writer is known for 'The Chronicles of Narnia' series?,J.R.R. Tolkien,6.805510,-4.302760,0.003620,41.891239,-41.487198,0.161796,142.942703
Who wrote 'Crime and Punishment'?,Leo Tolstoy,12.523471,-9.015328,-1.717505,47.576675,-39.960316,0.187564,148.232880
Who is the author of 'Jane Eyre'?,Emily Bronte,13.262339,-9.781628,-1.185260,43.361694,-40.670635,1.555988,145.797150
Who is recognized for writing 'The Catcher in the Rye'?,F. Scott Fitzgerald,9.651184,-7.291409,-1.267963,25.239382,-25.195608,0.822819,147.316483
Who is the author of 'Les Misérables'?,Alexandre Dumas,12.867599,-8.705332,-2.537186,22.237726,-24.530687,2.067113,149.591187
Which author wrote the dystopian novel 'Brave New World'?,Philip K. Dick,12.338255,-9.337222,-1.128297,58.667183,-56.753708,0.539362,145.527679
Who wrote 'The Picture of Dorian Gray'?,Charles Dickens,12.108160,-9.304544,-2.312273,48.258240,-40.603500,1.992717,149.690384
Who is the author of the play 'A Streetcar Named Desire'?,Arthur Miller,12.026521,-8.945083,-1.207102,51.757820,-56.489075,1.129488,149.148605
