question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
In which year did Hurricane Ana occur?,2014,8.182704,11.933600,-2.796844,68.586945,-49.503445,-2.057167,118.188484
In which year did epidemic of Ebola virus disease occur?,2013,8.016669,11.775294,-3.232785,36.782917,-19.481884,-0.345279,140.345840
In which year did case of Ashya King concerns a boy named Ashya King occur?,2014,8.247771,11.747634,-3.111107,53.139900,-35.902367,-0.364294,125.230682
In which year did 67th British Academy Film Awards occur?,2014,7.619328,12.783024,-3.665626,27.484480,-14.489714,-0.491460,139.491562
In which year did Cuban thaw occur?,2014,8.563946,11.387127,-3.253306,33.410400,-19.631588,0.154839,140.695190
In which year did 2014 Berlin Marathon occur?,2014,6.748960,14.300508,-2.020616,23.111450,-10.056376,0.843066,143.228409
In which year did Operation Full Disclosure occur?,2014,9.070540,11.521656,-3.513138,25.917545,-11.996564,0.505975,141.646896
In which year did Trojan Horse scandal occur?,2013,7.897425,11.438318,-4.091444,40.117310,-24.010628,0.506733,136.497772
In which year did Paris Municipal elections took place on 23 and 30 March occur?,2014,8.832907,11.922652,-3.289421,35.444130,-21.394178,3.062564,141.122177
In which year did 2014 Gaza War occur?,2014,6.960798,13.441332,-3.979223,20.187420,-7.189362,-0.357319,144.475403
In which year did On the morning of 18 November 2014 occur?,2014,7.915689,12.649162,-3.392418,23.981277,-10.628867,1.316158,142.663666
In which year did Marius occur?,2012,9.050701,10.492290,-3.305707,41.455765,-22.724567,3.956184,138.537750
In which year did A photograph of then-Labour Party leader Ed Miliband occur?,2014,7.667988,12.488450,-1.916489,29.504997,-17.312435,2.763451,142.290985
In which year did March in March refers to a series of marches which occur?,2014,7.718047,12.655244,-3.922215,20.598879,-8.245736,2.311023,147.062408
In which year did 2013–2014 Atlantic winter storms in Europe occur?,2013,7.995864,12.555102,-3.755401,24.140423,-9.749672,-0.444922,144.350647
In which year did Conference of Western Balkan States occur?,2014,7.241841,13.292528,-3.952914,28.464851,-14.754692,4.060460,144.406738
In which year did 2014 Kalbajar incident refers to the crossing of occur?,2014,6.839695,12.968006,-3.651874,26.326342,-13.060099,-0.026107,142.365112
In which year did Art Buff occur?,2014,7.979091,12.548840,-3.756595,27.615845,-13.403537,0.358699,144.566940
In which year did war on terror occur?,2003,9.225229,10.766867,-4.055869,26.426701,-12.814515,-0.447843,141.994446
In which year did Hamas formation occur?,2007,8.919523,11.384975,-3.756421,22.734676,-9.433993,-0.019409,144.279282
In which year did Election to the 6th convocation of the Moscow City Duma took place on the United Voting Day on September 14 occur?,2014,8.545700,11.487313,-3.005540,32.022850,-17.234989,-0.802866,145.030731
In which year did Abkhazian Revolution took place occur?,2014,8.320160,12.079935,-5.138599,43.676071,-28.405331,1.656029,137.230499
In which year did Organizations from around the world responded to the occur?,2014,8.618269,11.650832,-3.463912,48.213295,-34.349525,-1.107967,140.769363
In which year did 2014–2016 Croatian war veterans tent protest was 555 occur?,2014,8.403107,12.256320,-4.002417,85.719139,-66.189117,-1.103020,110.556564
In which year did Japanese whaling occur?,1890,10.768524,9.097726,-3.260488,34.724228,-20.884233,2.153970,143.914352
In which year did General elections occur?,2014,7.065063,13.341099,-3.341787,15.097434,-4.001802,-0.289717,128.184616
In which year did Presidential elections occur?,2014,7.117231,13.420037,-3.501204,33.252491,-19.684402,-0.273504,142.525436
In which year did Simon Hall occur?,1977,10.631342,9.557346,-3.701046,27.364779,-13.327724,1.818380,141.344666
In which year did Talking Statues occur?,2013,8.500438,12.389735,-2.503690,34.418491,-19.630421,2.640239,140.622589
In which year did 6th BRICS summit occur?,2010,7.725959,11.824345,-2.237767,31.800802,-16.573275,0.977506,142.249969
In which year did William Tyrrell occur?,2011,8.775546,11.142791,-3.009694,18.546467,-5.167413,1.286543,144.794586
In which year did During the ongoing Russo-Ukrainian War between the Ukrainian government forces and pro-Russian separatists in the Donbas region of Ukraine that began in April 2014 occur?,2014,7.577221,12.441036,-3.928072,33.563271,-19.290707,-0.567906,138.614319
In which year did Operation Car Wash occur?,2014,8.953600,11.526677,-2.000705,33.782124,-18.929405,0.762399,142.514557
In which year did Euromaidan occur?,2013,8.279509,12.309837,-4.792878,41.158482,-26.731487,-1.595742,137.007492
In which year did 2013–2014 Israeli–Palestinian peace talks occur?,2013,6.495388,14.049933,-2.786901,35.133888,-20.192310,0.435938,140.888000
In which year did Around midday on October 22 occur?,2014,8.103858,12.428709,-3.304783,36.813705,-23.561501,0.384114,141.503265
In which year did third edition of the Champs-Élysées Film Festival occur?,2014,7.816969,12.936975,-2.859796,34.323818,-19.555317,-0.871949,141.232697
In which year did following addresses the events in Northern Afghanistan occur?,2009,10.615965,8.591180,-3.530139,20.566256,-8.126904,2.086336,143.312958
In which year did 2014 Australian federal budget occur?,2014,6.432233,14.361220,-3.386238,27.743080,-13.817181,1.550085,142.655197
In which year did Report of the Commission of Inquiry on Human Rights in the Democratic People's Republic of Korea occur?,2013,6.713861,13.370626,-2.842873,46.485992,-29.273239,0.539219,138.551544
In which year did Fantastica Mania 2014 occur?,2014,7.749399,13.160902,-3.352420,28.895432,-14.790670,0.668003,143.543701
In which year did Argentine debt restructuring occur?,2005,9.057796,11.375004,-3.173331,29.484179,-15.768826,-1.648996,141.414322
In which year did Toronto Rock occur?,2014,7.385777,13.316650,-3.295178,31.385298,-17.863571,1.860217,139.947617
In which year did Declared in June 2014 occur?,2014,8.435851,11.897770,-3.293593,33.651203,-18.603512,-1.542961,140.406067
In which year did Julieka Ivanna Dhu occur?,2014,8.146738,11.897049,-3.353144,36.717968,-21.888777,1.869599,136.275833
In which year did Between 13 and 18 May a low-pressure cyclone designated Tamara and Yvette affected a large area of Southeastern and Central Europe occur?,2014,8.225851,11.767644,-2.639348,29.268042,-11.677382,-0.165713,134.347687
In which year did Arturo occur?,1985,10.041715,10.136064,-3.175294,36.804676,-22.072395,0.627814,139.876968
In which year did Malaysia Airlines Flight 17 occur?,2014,7.927467,12.100076,-2.570131,29.463982,-16.483976,2.069499,141.882202
In which year did Karen Petrosyan v occur?,2014,7.213785,13.235220,-2.986114,47.965897,-31.408894,-0.436040,133.656952
In which year did analysis of communications between Malaysia Airlines Flight 370 and Inmarsat's satellite telecommunication network provide the primary source of information about Flight 370's location and possible in-flight events after it disappeared from military radar coverage at 2:22 Malaysia Standard Time occur?,2014,6.418617,13.071577,-2.788469,15.494514,-2.429540,-0.170653,146.525970
In which year did Bulgarian protests against the Oresharski cabinet occur?,2013,8.082526,12.246019,-3.697509,38.656265,-24.072685,-1.129180,139.422379
In which year did Lars Joachim Mittank occur?,1986,9.713367,10.468821,-3.394217,28.590239,-14.405643,2.777122,140.554337
In which year did concept of Targeted Poverty Alleviation occur?,2014,7.668573,12.117679,-1.835084,38.659760,-20.544556,-2.586015,128.749588
In which year did US Presidential elections occur?,2014,7.028172,13.468137,-3.663152,36.787510,-22.181301,1.990816,140.671234
In which year did Brazilian Anti-Corruption Act occur?,2014,7.896193,12.647984,-2.480118,28.887953,-13.962851,1.975463,143.014053
In which year did 2014 Gaza Valley airstrike occur?,2014,6.944726,12.952810,-3.279454,18.344595,-4.974091,-0.640696,145.957184
In which year did Spy Booth occur?,2013,8.436148,12.200335,-3.446213,41.182632,-25.944038,1.004779,137.289948
In which year did 2014 Nuclear Security Summit occur?,2014,6.477295,13.835341,-2.788912,19.979488,-5.466284,1.053129,145.243713
In which year did 2014 Toronto Argonauts season occur?,2014,7.062881,13.849140,-2.521103,24.146715,-10.593817,-1.444049,140.361389
In which year did 2013–14 North American winter occur?,2013,8.000710,12.593359,-3.351352,21.241522,-7.384996,-0.701687,146.030624
In which year did it snowed on December 29 in NY occur?,2013,8.535477,12.047167,-3.230411,19.439800,-6.401351,0.017023,143.482224
In which year did 2014 unrest in Bosnia and Herzegovina occur?,2014,6.052388,14.022518,-2.603888,49.010830,-30.183931,-0.137119,124.258339
In which year did World Cultural Council performed its 31st Award Ceremony on November 17 occur?,2014,7.297431,12.627546,-2.387768,25.980398,-13.598736,-0.226012,143.260452
In which year did American immigration crisis occur?,2014,9.294570,11.033940,-3.090875,27.692739,-15.104132,0.185085,140.739914
In which year did MS Norman Atlantic occur?,2014,8.236187,11.675015,-4.118838,42.452072,-26.965595,1.917762,136.692245
In which year did Thai political crisis occur?,2013,8.638291,11.210514,-2.684774,26.577248,-13.180474,-7.241494,146.114502
In which year did Schellenberg smuggling incident occur?,2014,9.070425,10.608597,-3.171430,33.654594,-19.651308,0.585574,139.970871
In which year did UEC European Track Championships occur?,2014,6.988207,13.829477,-3.039070,38.949043,-23.893803,2.437682,141.025940
In which year did In July occur?,2014,8.744597,11.426901,-3.223369,29.351967,-15.110184,0.196677,142.437027
In which year did Sundarbans oil spill occur?,2014,7.849391,11.834799,-2.200938,34.109219,-18.161213,-0.461609,141.212479
In which year did Suez Canal Corridor Area Project occur?,2014,8.872583,10.964325,-2.269593,31.241789,-16.231184,-0.307313,141.669464
In which year did ARSAT-1 occur?,2014,8.065248,12.267086,-3.313071,37.777767,-21.409948,-0.423104,137.951691
In which year did 40th G7 summit occur?,2014,7.948812,12.139530,-2.753868,30.843332,-16.149118,1.739176,142.038666
In which year did Gutter oil occur?,2014,8.255356,11.883293,-2.197374,24.911032,-10.861126,2.488104,142.430527
In which year did Burkina Faso uprising occur?,2014,8.425860,11.683426,-5.100905,33.145493,-18.302547,2.127764,140.041153
In which year did third competition weekend of the 2014–15 ISU Speed Skating World Cup will be held in Sportforum Hohenschönhausen in Berlin occur?,2014,7.423388,13.116764,-2.872576,22.936655,-7.777860,0.172976,142.700439
In which year did Wrestle Kingdom 8 in Tokyo Dome occur?,2014,7.219289,12.709900,-2.618862,32.433769,-18.246059,2.884531,139.894531
In which year did Typhoon Hagupit occur?,2014,8.291670,11.907259,-3.024929,38.753033,-23.431280,1.491401,139.745926
In which year did Kasta Tomb occur?,1964,11.072798,8.850544,-3.002924,37.541851,-22.217577,0.336828,140.016342
In which year did Battle of Shuja'iyya occurred between the Israel Defense Forces and the Izz ad-Din al-Qassam Brigades on 20 July 2014 during 2014 Israel–Gaza conflict in the Shuja'iyya neighborhood of Gaza City occur?,2014,8.887529,11.345420,-3.166891,25.023611,-11.699221,-4.845922,146.419922
In which year did Belarus participated in the Eurovision Song Contest 2014 occur?,2014,7.892014,12.648416,-2.734802,69.113327,-50.529667,2.748267,116.566772
In which year did Willis Resilience Expedition occur?,2013,8.030363,12.409088,-3.235698,21.667273,-7.641328,0.435054,146.536118
In which year did An internal conflict in the Central African Republic occur?,2013,9.105640,11.181726,-2.972700,73.396011,-53.260906,-0.720915,115.779060
In which year did Georgia joined the war in Afghanistan in 2004 and the country had become the largest non-NATO and the largest per capita troop contributor to the International Security Assistance Force in Afghanistan by late 2012 occur?,2004,10.517815,9.539010,-3.123236,53.051212,-34.539150,-4.885452,125.987076
In which year did Presidential elections occur?,2014,7.117231,13.420037,-3.501204,33.252491,-19.684402,-0.273504,142.525436
