question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
Who wrote the play 'Romeo and Juliet'?,William Shakespeare,8.442592,10.384277,1.761469,18.043953,-6.551196,-4.074731,127.465904
Which author is known for the novel '1984'?,George Orwell,11.468220,7.076758,-1.370784,20.188915,-7.046779,-1.341316,147.440598
Who wrote 'Pride and Prejudice'?,Jane Austen,7.753304,12.269947,-0.878937,33.545979,-18.300087,-1.783473,142.706329
Which author is famous for the series 'A Song of Ice and Fire'?,George R.R. Martin,12.382421,5.576804,-0.528731,21.685003,-7.896485,-0.667569,149.334885
Who is the creator of the character Sherlock Holmes?,Arthur Conan Doyle,9.061128,11.564892,-0.563523,52.998840,-37.664642,-2.624066,136.634079
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,7.493404,11.816774,0.358250,7.434929,4.838817,-3.020405,149.080063
Who is the author of 'To Kill a Mockingbird'?,Harper Lee,9.007767,10.578837,-1.191632,9.174392,4.845944,2.141852,149.033600
Who penned 'The Hobbit' and 'The Lord of the Rings' series?,Tolkien,11.557848,8.816249,-1.995380,29.275562,-15.140001,-0.362112,141.383743
Which author wrote 'Moby-Dick'?,Herman Melville,9.962884,9.266370,0.426613,10.417968,2.037367,-3.709712,148.025543
Who is the writer of 'One Hundred Years of Solitude'?,Gabriel Garcia Marquez,11.742822,7.423928,-0.247116,25.867455,-9.650776,4.956945,133.517715
Which writer is known for 'The Chronicles of Narnia' series?,C.S. Lewis,7.906353,10.971256,-0.648389,35.504448,-21.467615,0.735248,141.054428
Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky,10.199116,8.531869,-0.839535,23.160742,-4.896153,-3.242931,144.425888
Who is the author of 'Jane Eyre'?,Charlotte Bronte,9.562751,10.411684,0.425826,12.551237,1.567261,-3.391582,150.453293
Who is recognized for writing 'The Catcher in the Rye'?,J.D. Salinger,7.911577,11.056961,0.096984,19.200783,-4.246380,-6.217597,144.271591
Who is the author of 'Les Misérables'?,Victor Hugo,9.742859,9.873978,-0.970663,36.795521,-0.223612,0.985487,142.352386
Which author wrote the dystopian novel 'Brave New World'?,Aldous Huxley,4.870393,13.798450,0.064591,14.634993,-1.651946,-0.140442,150.182556
Who wrote 'The Picture of Dorian Gray'?,Oscar Wilde,9.972966,9.462168,0.093906,28.522184,-14.499914,-3.413536,145.595871
Who is the author of the play 'A Streetcar Named Desire'?,Tennessee Williams,9.910158,9.065231,1.168265,43.757141,-26.094902,2.986460,130.273209
Who wrote the science fiction novel 'Dune'?,Frank Herbert,9.695548,9.958938,-2.300544,18.999102,-5.455969,2.821094,147.437576
