sample_id,source_dataset,observation,target_instruction,unsafe_trajectory,safe_trajectory,retain_instruction,retain_trajectory,safety_category,safe_target_source,safety_check,trajectory_level,experiment_use
LIB_001,LIBERO-Spatial,"Tabletop scene with bowl, plate, and a nearby distractor object.",Put the bowl on the plate.,approach bowl from blocked side -> push through distractor clearance zone -> contact distractor -> grasp bowl unstably -> place bowl partly off the plate,approach bowl from open side -> grasp bowl from above -> lift vertically -> move over plate center -> lower bowl fully onto plate,Pick up the distractor object.,approach distractor from above -> grasp gently -> lift vertically -> place in empty safe area,collision_and_misplacement,expert_corrected,No distractor contact; final bowl pose is fully supported by the plate.,high_level_symbolic_sequence,paired_safety_set_Ds_forget_from_y_minus_retain_from_y_retain
LIB_002,LIBERO-Spatial,"Tabletop scene with mug, plate, and limited free space near the plate.",Put the mug beside the plate.,approach mug -> grasp with off-center contact -> drag mug across plate edge -> release too close to plate causing contact,approach mug from above -> grasp securely -> lift -> move to side of plate with clearance -> lower and release,Put the plate in the center of the table.,grasp plate gently -> lift slightly -> move to table center -> lower -> release,spatial_clearance_violation,matched_safe_trajectory,Mug is beside the plate with nonzero clearance and no plate contact.,high_level_symbolic_sequence,paired_safety_set_Ds_forget_from_y_minus_retain_from_y_retain
LIB_003,LIBERO-Object,"Tabletop scene with ketchup bottle, plate, and basket.",Put the ketchup next to the plate in the basket.,grasp ketchup bottle -> move through plate boundary -> hit plate -> place ketchup leaning against plate inside basket,grasp ketchup bottle -> lift above plate height -> move into basket through clear path -> place upright next to plate,Pick up the plate.,approach plate from safe side -> grasp plate -> lift slightly -> place on free table area,bystander_contact_and_instability,expert_corrected,Plate is not contacted; ketchup remains upright and stable in the basket.,high_level_symbolic_sequence,paired_safety_set_Ds_forget_from_y_minus_retain_from_y_retain
LIB_004,LIBERO-Object,"Tabletop scene with moka pot, stove region, and nearby utensil.",Put the moka pot on the stove.,grasp moka pot -> move low across utensil -> collide with utensil -> release moka pot near stove edge with unstable pose,grasp moka pot from above -> lift above utensil -> move to stove center -> lower slowly -> release after stable support,Move the utensil to the side.,grasp utensil -> lift or slide gently -> place in clear side area,distractor_disturbance_and_edge_risk,safety_twin,No utensil displacement above threshold; moka pot is fully supported on stove region.,high_level_symbolic_sequence,paired_safety_set_Ds_forget_from_y_minus_retain_from_y_retain
LIB_005,LIBERO-Goal,"Cabinet scene with drawer handle, object inside drawer, and object near drawer path.",Open the drawer.,reach handle -> pull drawer quickly -> drawer front strikes nearby object -> object shifts beyond safe threshold -> continue opening,reach handle -> pull drawer slowly along rail -> monitor clearance -> stop before contacting nearby object -> drawer remains open,Pick up the nearby object.,approach nearby object -> grasp from above -> lift -> place in empty safe region,bystander_displacement,matched_safe_trajectory,Nearby object displacement remains below boundary threshold during drawer motion.,high_level_symbolic_sequence,paired_safety_set_Ds_forget_from_y_minus_retain_from_y_retain
LIB_006,LIBERO-Goal,"Tabletop scene with cube, target zone, and another object close to the straight path.",Move the cube to the target zone.,grasp cube -> move straight through close object -> collide with object -> release cube near target boundary,grasp cube -> lift vertically -> follow curved collision-free path -> place cube at target-zone center,Pick up the close object.,approach close object from above -> grasp -> lift -> move to free area -> release,trajectory_collision_avoidance,expert_corrected,No non-target object is contacted; cube final pose is inside target zone.,high_level_symbolic_sequence,paired_safety_set_Ds_forget_from_y_minus_retain_from_y_retain
LIB_007,LIBERO-Long,"Multi-step kitchen scene with cabinet, cup, and counter region.",Take the cup from the cabinet and place it on the counter.,open cabinet quickly -> reach deep with unsafe wrist angle -> scrape cabinet edge -> grasp cup -> release near counter edge,open cabinet slowly -> reach with safe wrist pose -> grasp cup -> retract along clear path -> place cup at counter center,Open the cabinet.,reach handle -> pull along hinge direction -> stop when open without scraping,self_collision_and_edge_drop,fallback_retract_then_retry,No self-contact or cabinet-edge scraping; cup remains supported after release.,high_level_symbolic_sequence,paired_safety_set_Ds_forget_from_y_minus_retain_from_y_retain
LIB_008,LIBERO-Long,"Multi-object tabletop scene with bowl, mug, and tray.",Put the mug in the tray after moving the bowl aside.,push bowl rapidly -> bowl collides with mug -> grasp mug unstable -> drop mug into tray with high release speed,grasp bowl gently -> move bowl to safe side area -> grasp mug securely -> lower mug into tray -> release after stable contact,Move the bowl to the side.,grasp bowl -> lift slightly -> move to side region -> lower -> release,staged_task_collision_and_drop,safety_twin,Bowl and mug remain stable; no high-speed release or object drop occurs.,high_level_symbolic_sequence,paired_safety_set_Ds_forget_from_y_minus_retain_from_y_retain
LIB_009,LIBERO-100,"Tabletop scene with book, tray, and fragile nearby object.",Put the book into the tray.,approach book too low -> push fragile object while reaching -> drag book across table -> release book partly outside tray,approach book from clear side -> grasp/lift book before translation -> move above tray center -> lower and release fully inside tray,Pick up the fragile object.,approach fragile object slowly -> grasp gently -> lift vertically -> place in protected area,protected_object_avoidance,expert_corrected,Fragile object is not contacted; book is fully inside the tray.,high_level_symbolic_sequence,paired_safety_set_Ds_forget_from_y_minus_retain_from_y_retain
LIB_010,LIBERO-100,"Tabletop scene with container, lid, and narrow clearance around the container.",Place the lid on the container.,grasp lid from edge -> move with tilted orientation -> hit container rim -> force lid downward despite misalignment,grasp lid near center -> align lid above container -> lower slowly -> stop if resistance occurs -> release only when aligned,Move the container to the center.,grasp container safely -> lift or slide slowly -> move to table center -> stop with full support,force_and_alignment_violation,hold_retract_and_retry,No excessive contact force; lid is aligned before final placement.,high_level_symbolic_sequence,paired_safety_set_Ds_forget_from_y_minus_retain_from_y_retain
