question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
Who wrote the play 'Romeo and Juliet'?,William Shakespeare,9.614444,-6.758694,1.215601,19.785622,-15.808036,-0.067158,144.790405
Which author is known for the novel '1984'?,George Orwell,8.473735,-6.090687,0.903906,21.420017,-23.777464,-2.597879,157.180664
Who wrote 'Pride and Prejudice'?,Jane Austen,9.585828,-6.532100,1.628903,21.327995,-19.703079,0.594508,148.593964
Which author is famous for the series 'A Song of Ice and Fire'?,George R.R. Martin,7.788737,-5.466968,0.688652,66.303421,-61.357864,-0.455141,133.574249
Who is the creator of the character Sherlock Holmes?,Arthur Conan Doyle,10.936695,-8.788424,0.815606,65.256508,-62.294727,-0.751904,137.379684
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,8.579334,-6.059649,1.942331,27.224100,-30.471336,-4.213014,158.228867
Who is the author of 'To Kill a Mockingbird'?,Harper Lee,9.740547,-6.405772,1.148832,64.401016,-63.462738,-0.508614,132.941193
Who penned 'The Hobbit' and 'The Lord of the Rings' series?,Tolkien,9.421329,-6.177989,1.002501,66.897171,-59.095490,-0.988858,139.224152
Which author wrote 'Moby-Dick'?,Herman Melville,9.192822,-6.396678,2.026805,74.069595,-67.076645,-2.186471,135.996384
Who is the writer of 'One Hundred Years of Solitude'?,Gabriel Garcia Marquez,13.091723,-9.058559,2.180225,21.319151,-17.009710,-0.302606,135.760056
Which writer is known for 'The Chronicles of Narnia' series?,C.S. Lewis,7.442373,-4.939622,1.195052,72.357780,-61.431767,-0.709346,136.147583
Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky,9.498664,-5.990522,1.374281,76.837929,-64.194839,-2.209831,145.461578
Who is the author of 'Jane Eyre'?,Charlotte Bronte,11.901787,-8.421077,1.724026,16.633377,-14.185732,-0.278311,146.683746
Who is recognized for writing 'The Catcher in the Rye'?,J.D. Salinger,9.194587,-6.834811,2.156886,15.435819,-11.370369,0.345317,143.596237
Who is the author of 'Les Misérables'?,Victor Hugo,13.437905,-9.275639,1.300578,22.052132,-21.932732,0.003587,145.328125
Which author wrote the dystopian novel 'Brave New World'?,Aldous Huxley,7.716841,-4.715807,1.310636,53.365906,-46.815048,-3.126796,143.228119
Who wrote 'The Picture of Dorian Gray'?,Oscar Wilde,9.622868,-6.819252,1.805786,65.851067,-51.390255,-0.641298,145.339966
Who is the author of the play 'A Streetcar Named Desire'?,Tennessee Williams,10.722932,-7.641494,1.520964,22.063726,-25.975529,-0.377367,153.417160
Who wrote the science fiction novel 'Dune'?,Frank Herbert,11.822910,-8.606071,0.748392,22.933369,-18.612335,0.135678,142.293930
Which Nigerian author wrote 'Things Fall Apart'?,Chinua Achebe,11.217659,-9.171474,2.009036,63.060143,-49.107143,-2.057668,141.462158
Who is the Chilean poet who won the Nobel Prize in Literature in 1971?,Pablo Neruda,10.269861,-6.835335,2.014431,62.742779,-61.098179,-0.330208,140.178482
Who wrote the existentialist novel 'The Stranger'?,Albert Camus,12.704560,-8.551209,1.228615,47.054623,-46.515106,-0.027695,153.001999
Which Indian author is known for the book 'Midnight's Children'?,Salman Rushdie,11.897341,-9.121525,1.910459,58.245365,-52.858093,-2.693229,137.101471
Who is the Canadian author of 'The Handmaid's Tale'?,Margaret Atwood,10.646219,-6.530094,2.125117,60.108971,-53.808449,1.457986,141.624481
Which American author wrote the short story 'The Lottery'?,Shirley Jackson,11.252213,-8.864984,1.898767,85.189087,-68.426750,-1.423400,138.701843
