idx,dataset,split,is_member,url,caption,loss_before,loss_after,delta_loss,emb_l2_before,emb_l2_after,cos_emb_before_after,emb_vec_before,emb_vec_after
0,HuggingFaceH4/llava-instruct-mix-vsft,train,0,,Donna Eden,1.1547075510025024,1.5173858404159546,0.36267828941345215,64.64070892333984,70.31949615478516,0.9705641269683838,"[ 0.75536,-1.00649, 1.10581,..., 0.33508,-0.05547,-1.11285]","[ 0.87397,-0.90685, 1.47156,..., 0.42863, 0.31876,-1.03246]"
1,HuggingFaceH4/llava-instruct-mix-vsft,train,0,,Sylvie Covey,4.440222263336182,4.826449394226074,0.3862271308898926,61.61051940917969,64.2718276977539,0.9678117036819458,"[-0.21422, 0.34067,-0.00959,...,-0.5204 ,-0.2676 , 0.10694]","[-0.4691 , 0.39237, 0.31658,...,-0.69907,-0.29211, 0.08202]"
2,HuggingFaceH4/llava-instruct-mix-vsft,train,0,,"At this location, with a sandy path leading to the ocean where multiple boats, including sailboats, are moored, popular activities might include boating, sailin",2.3248343467712402,2.2696361541748047,-0.05519819259643555,80.74176788330078,80.1496353149414,0.9923651814460754,"[-0.15429,-0.92659, 0.9528 ,...,-0.05621, 0.32752, 0.40203]","[-0.14187,-0.65397, 0.56112,..., 0.1308 , 0.0279 , 0.40802]"
3,HuggingFaceH4/llava-instruct-mix-vsft,train,0,,Bernhard Schlink,4.162124156951904,4.717578887939453,0.5554547309875488,63.16163635253906,67.08721923828125,0.9639724493026733,"[ 0.33576, 0.76914, 1.14493,..., 1.45342, 0.33183,-1.66776]","[ 0.13029, 0.90825, 1.22229,..., 1.46763, 0.11133,-1.73244]"
4,HuggingFaceH4/llava-instruct-mix-vsft,train,0,,Blue Star Coloring,5.696591854095459,5.924908638000488,0.2283167839050293,67.66903686523438,70.61174774169922,0.9707708358764648,"[-0.68482,-0.82908,-0.92073,..., 0.40435, 1.41033,-0.5473 ]","[-0.94328,-0.6745 ,-1.31286,..., 0.28311, 1.31484,-0.78289]"
5,HuggingFaceH4/llava-instruct-mix-vsft,train,0,,It is important to place the red pipes and fire hydrants in the grassy field to ensure that an adequate water supply is available for various purposes such as f,2.3590028285980225,2.3706657886505127,0.011662960052490234,88.43123626708984,87.28598022460938,0.9916084408760071,"[ 1.02594e-02,-6.49081e-01,-1.00911e+00,...,-8.18249e-02,-2.33864e-04,
 -9.25567e-01]","[-0.06674,-0.50789,-1.40685,..., 0.09811,-0.25146,-0.8134 ]"
6,HuggingFaceH4/llava-instruct-mix-vsft,train,0,,Allan P. Sand,6.223325252532959,6.72433614730835,0.5010108947753906,64.26547241210938,66.89228057861328,0.9771929383277893,"[-0.4762 ,-0.94411, 0.18817,...,-0.25149, 0.62038, 0.30879]","[-0.68408,-0.82742, 0.13391,...,-0.18939, 0.65961, 0.51089]"
7,HuggingFaceH4/llava-instruct-mix-vsft,train,0,,"The person is sitting on the surfboard in the ocean, waiting for a wave to ride.",1.0506441593170166,0.9877122640609741,-0.06293189525604248,99.61939239501953,96.65301513671875,0.9891678094863892,"[ 0.33888,-0.31304,-0.33589,..., 0.7018 ,-0.542  , 0.12275]","[ 0.17672, 0.00745,-0.84459,..., 0.92497,-0.87951, 0.42991]"
8,HuggingFaceH4/llava-instruct-mix-vsft,train,0,,Carole Eide,7.35748291015625,7.837102890014648,0.47961997985839844,67.83251953125,69.58440399169922,0.970781683921814,"[-1.16832,-0.77754,-1.0799 ,..., 0.54332, 0.69974,-0.64577]","[-1.24069,-0.86312,-1.21475,..., 0.52856, 0.67417,-0.4269 ]"
9,HuggingFaceH4/llava-instruct-mix-vsft,train,0,,"Given the number of dishes stored in the cupboard, which includes plates, small bowls, and potentially some knives, it is essential to ensure that they are arra",2.282844066619873,2.289658546447754,0.006814479827880859,74.78501892089844,75.76995849609375,0.9914432764053345,"[ 1.65059, 0.16182,-0.46018,...,-0.84315,-0.76338,-0.59632]","[ 1.52049, 0.40828,-0.69106,...,-0.71327,-1.06237,-0.56353]"
