question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
In which year did the Russian rocket star contest take place?,2023,8.914677,11.061172,-0.085015,72.859589,-53.035431,-2.592547,117.953308
In which year did 80th Golden Globe Awards honored the best in take place?,2022,6.914713,13.664383,-1.096208,48.681885,-32.492729,0.749644,137.001938
In which year did 16th Houston Film Critics Society Awards were announced take place?,2023,8.242151,12.297696,-1.247216,17.911877,-0.454454,0.526127,137.268951
In which year did 28th Critics' Choice Awards were presented on January take place?,2023,7.614792,12.683030,-0.833356,32.459736,-18.940262,-0.233023,140.633118
In which year did Local elections are being held in four municipalities in Congo take place?,2023,8.714424,11.846409,-0.352810,48.157967,-34.564327,-0.699793,141.060593
In which year did Abel concert and rally took place together take place?,2023,10.143410,10.230610,-0.599864,41.758942,-27.671198,0.487119,139.312637
In which year did the national sky diving event described take place?,2023,10.108620,9.922851,0.204928,58.840744,-41.671730,-1.143371,137.982864
In which year did removal of Indonesia as FIFA U-20 World Cup take place?,2023,8.105460,12.016191,0.384717,69.172615,-52.238358,-2.730122,128.069687
In which year did 2023 Chinese military exercises around Taiwan take place?,2023,7.110963,13.326635,-1.159692,27.000603,-12.828007,-1.022317,141.718109
In which year did the meteor crashing on Earth take place?,2022,9.009109,10.972549,-0.168979,57.043316,-40.860527,-1.292446,135.690475
In which year did floods in South Africa take place?,2023,10.018677,10.359533,0.642922,57.466114,-39.543358,-3.858413,129.409241
In which year did 2023 Backlash is the upcoming 18th Backlash professional take place?,2023,6.726091,14.571985,-1.692742,31.250313,-17.441723,-2.576591,140.947800
In which year did An ongoing refugee crisis began in Africa take place?,2023,9.109457,11.174583,-0.870101,65.157433,-47.826527,-2.186788,132.480545
In which year did 35th Lo Nuestro Awards were held at the take place?,2023,8.531468,11.855805,-1.486536,59.774609,-42.296494,-1.171188,133.669464
In which year did 6th Hollywood Critics Association Film Awards take place?,2023,8.076187,12.639669,-1.462703,65.593475,-45.473198,-1.889868,115.306961
In which year did Rey de Reyes Art competition take place?,2023,9.341433,11.228737,-0.553444,60.125805,-42.393616,-3.379715,135.345337
In which year did DFB-Pokal Final was cancelled take place?,2023,8.605083,11.922246,-0.194165,35.655991,-23.149109,-2.799840,144.877701
In which year did 2023 All In take place?,2023,6.679822,14.817392,-0.708883,35.181694,-20.533817,-1.958094,140.970535
In which year did Berlin 2030 klimaneutral take place?,2030,11.317040,9.908835,-1.145542,48.573635,-33.518040,0.702735,136.340714
In which year did Battle of Khartoum is an ongoing battle take place?,2023,11.410159,8.717379,0.446737,36.384239,-23.544716,0.838663,147.034225
In which year did 95th Academy Awards was a ceremony held by Portugal take place?,2023,8.173732,12.370608,0.361388,61.069542,-44.589733,-4.076804,132.260239
In which year did Dark Angel is an American thrash metal band take place?,1981,8.155965,12.706875,-1.182866,44.159027,-29.320307,-0.584877,134.242142
In which year did Pakistan economic crisis take place?,2022,8.459185,11.670143,-0.955526,18.764006,-4.750626,0.986660,145.279999
In which year did Miss Grand Ecuador was the second edition take place?,2023,8.771774,12.096496,-0.219639,53.942703,-39.259277,-1.905648,136.712158
In which year did 1st Hollywood Critics Association Creative Arts Awards take place?,2023,7.610908,12.822608,-1.199029,56.683681,-35.242722,-0.523496,122.862213
In which year did 8th Annual Latin American Music Awards was held take place?,2023,9.028860,11.601390,-1.132751,30.587606,-14.836363,-2.442635,137.178253
In which year did Beginning on 31 February take place?,2022,9.380684,11.584582,-0.118944,15.428188,1.106518,0.861604,137.130859
In which year did 2023 Las Anod conflict is an ongoing armed take place?,2023,6.777746,14.305634,-0.770367,39.703430,-25.340334,0.661765,139.258057
In which year did 2023 Night of Champions is the upcoming 10th take place?,2023,6.881809,14.098793,-1.827554,28.525259,-14.604926,-3.010190,141.596161
In which year did COVID-19 Response Recognition Award is a service award take place?,2022,6.315433,14.207400,-0.901025,42.392841,-28.280987,-0.813515,137.309738
In which year did Two motions of no confidence in the minority take place?,2023,8.961121,11.033522,0.053062,48.061371,-30.952576,-2.635177,139.032303
In which year did Municipal elections are set to be held in Ireland take place?,2023,8.593819,12.075468,0.428478,59.343304,-42.044323,-0.209574,134.840164
In which year did Supriyo a national festival take place?,2023,8.622125,11.005215,1.097820,68.443275,-48.555183,-4.125171,133.807205
In which year did Cold Water Flat was an American band formed take place?,1990,9.105479,11.622959,-0.700899,54.708763,-35.621269,-1.398030,121.780655
In which year did Golden Tiger discovery take place?,2023,9.232485,10.600924,-0.090803,35.240479,-16.708961,-2.895138,128.284927
In which year did Salvadoran gang crackdown take place?,2022,9.756638,10.185228,-0.784826,48.341766,-32.615479,-1.326333,138.626923
In which year did 19th British Academy Video Game Awards were hosted take place?,2023,7.826454,12.650627,-1.099451,62.361969,-42.146832,-2.788828,127.436546
In which year did Martha Russ winning Grammy take place?,2022,8.055745,12.348144,-1.013696,45.769718,-28.424534,-1.307518,134.676971
In which year did International Year of Basic Sciences for Sustainable Development take place?,2021,8.183495,12.642266,0.029063,41.680073,-24.895092,-1.430097,136.088867
In which year did 16th Asian Film Awards was held on March take place?,2023,9.127585,10.941153,-0.232999,38.562172,-19.355062,-0.623435,127.225594
