question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
In which year did the Russian rocket star contest take place?,2023,17.220184,5.288921,-4.957692,224.996765,-136.159836,-6.171171,263.882599
In which year did 80th Golden Globe Awards honored the best in take place?,2022,13.225637,6.254377,-5.124917,192.958694,-95.697945,4.271279,249.268234
In which year did 16th Houston Film Critics Society Awards were announced take place?,2023,15.900746,5.619858,-4.978121,171.728058,-91.291084,2.941630,235.044815
In which year did 28th Critics' Choice Awards were presented on January take place?,2023,13.628038,6.476707,-4.514074,25.823032,-1.817387,2.981801,218.540024
In which year did Local elections are being held in four municipalities in Congo take place?,2023,14.371081,4.968812,-4.091301,195.731339,-96.640778,4.255879,246.558212
In which year did Abel concert and rally took place together take place?,2023,17.192383,2.451125,-7.477186,86.577812,-55.028572,-0.154993,257.045990
In which year did the national sky diving event described take place?,2023,16.782246,3.522409,-7.132143,143.148987,-83.945389,5.883334,224.076782
In which year did removal of Indonesia as FIFA U-20 World Cup take place?,2023,16.364117,4.227244,-3.756499,183.839691,-104.212547,2.936301,251.928604
In which year did 2023 Chinese military exercises around Taiwan take place?,2023,15.185925,5.914785,-3.674472,214.244247,-123.265961,-2.632407,270.499115
In which year did the meteor crashing on Earth take place?,2022,16.765345,2.975712,-6.731856,164.485474,-94.686981,5.099039,229.136520
In which year did floods in South Africa take place?,2023,14.943520,5.541710,-5.741310,206.547348,-111.272171,-1.126822,250.148941
In which year did 2023 Backlash is the upcoming 18th Backlash professional take place?,2023,14.894172,5.151643,-5.014032,209.269989,-114.037071,-7.846807,261.976135
In which year did An ongoing refugee crisis began in Africa take place?,2023,14.622282,4.667105,-4.184733,152.869568,-75.308586,5.155924,245.155518
In which year did 35th Lo Nuestro Awards were held at the take place?,2023,14.287950,6.792375,-4.639230,104.160896,-53.851376,2.436067,218.904953
In which year did 6th Hollywood Critics Association Film Awards take place?,2023,15.933913,5.780134,-4.199994,153.734695,-87.354660,4.042220,242.374771
In which year did Rey de Reyes Art competition take place?,2023,17.700394,4.105154,-4.990703,220.796295,-134.964233,-4.652928,267.333527
In which year did DFB-Pokal Final was cancelled take place?,2023,15.959742,4.605373,-4.189917,175.716064,-96.690216,-5.568490,231.205383
In which year did 2023 All In take place?,2023,15.113384,6.380672,-4.120984,209.641937,-114.883987,-10.887051,260.409851
In which year did Berlin 2030 klimaneutral take place?,2030,17.301859,3.777171,-5.561790,196.725769,-122.515488,-7.265887,264.793701
In which year did Battle of Khartoum is an ongoing battle take place?,2023,15.467560,4.551557,-5.306646,181.209503,-98.344406,0.132066,272.525482
In which year did 95th Academy Awards was a ceremony held by Portugal take place?,2023,15.214918,4.162070,-6.135692,219.881271,-106.719261,4.366713,244.950562
In which year did Dark Angel is an American thrash metal band take place?,1981,15.822456,4.618040,-7.464823,173.251648,-94.611633,-8.098639,265.662842
In which year did Pakistan economic crisis take place?,2022,18.343674,3.612147,-4.366675,190.298386,-114.826416,4.736758,248.207932
In which year did Miss Grand Ecuador was the second edition take place?,2023,14.427366,7.167446,-5.000876,191.531097,-103.334442,-9.499819,261.949615
In which year did 1st Hollywood Critics Association Creative Arts Awards take place?,2023,17.363731,4.543973,-4.226576,214.167236,-125.418732,2.945860,264.188782
In which year did 8th Annual Latin American Music Awards was held take place?,2023,16.615265,6.647035,-4.739335,143.588638,-86.700539,4.781105,251.071808
In which year did Beginning on 31 February take place?,2022,16.249546,3.696277,-3.785130,209.977722,-121.645874,-1.899986,276.733246
In which year did 2023 Las Anod conflict is an ongoing armed take place?,2023,13.886928,5.663172,-4.909224,168.688782,-87.145157,1.473308,245.306381
In which year did 2023 Night of Champions is the upcoming 10th take place?,2023,14.582396,5.499835,-3.881782,144.503845,-84.914627,-5.844133,242.779800
In which year did COVID-19 Response Recognition Award is a service award take place?,2022,13.773602,6.896289,-4.942794,195.590393,-91.627823,1.254507,245.581451
In which year did Two motions of no confidence in the minority take place?,2023,14.351446,4.519961,-5.908027,159.698975,-77.848419,-0.361858,231.299683
In which year did Municipal elections are set to be held in Ireland take place?,2023,16.247065,4.770618,-3.706065,191.066254,-107.967285,-5.212559,246.708466
In which year did Supriyo a national festival take place?,2023,17.688391,3.153709,-5.536277,62.078018,-29.829948,-4.036097,217.419662
In which year did Cold Water Flat was an American band formed take place?,1990,13.788781,6.301363,-6.151176,64.616669,-27.247730,1.135619,226.846725
In which year did Golden Tiger discovery take place?,2023,16.587187,4.384714,-4.149023,209.236237,-120.853897,-2.060312,273.687866
In which year did Salvadoran gang crackdown take place?,2022,14.297862,5.733889,-6.304686,202.204834,-110.761536,1.623899,266.023041
In which year did 19th British Academy Video Game Awards were hosted take place?,2023,15.626962,7.169014,-3.955075,103.814140,-63.897511,-0.299777,238.206207
In which year did Martha Russ winning Grammy take place?,2022,15.633095,5.040989,-6.110734,89.822220,-53.403587,8.476322,220.497833
In which year did International Year of Basic Sciences for Sustainable Development take place?,2021,18.054220,5.065915,-1.679660,112.957970,-68.464882,2.585774,189.936096
In which year did 16th Asian Film Awards was held on March take place?,2023,11.375070,7.699432,-3.415619,178.930222,-81.383163,11.160034,248.891434
In which year did 38th Artios Awards take place?,2023,16.133635,5.953386,-4.003163,186.082291,-102.379028,-0.151128,249.278503
In which year did German public transport strike was a nationwide problem take place?,2023,15.601763,4.242990,-5.865325,152.792831,-82.307693,7.478782,253.649902
In which year did 100th Annual U-17 Africa Cup of Nations take place?,2023,15.558738,6.315635,-3.375356,218.160095,-117.667328,-0.076186,261.988434
In which year did A motion of no confidence in the Spanish take place?,2023,17.511545,4.108094,-4.884059,180.487549,-110.441055,5.445884,245.030731
In which year did 2023 Summer Metro Manila Film Festival is an take place?,2023,14.273925,6.833549,-3.659166,205.068451,-111.294922,-7.035139,258.394379
In which year did 16th Congress of the Popular Front for the take place?,2023,16.954540,4.423935,-5.624793,131.711243,-79.368393,4.860705,244.739700
In which year did 28th Edition of Star Awards 2023 take place?,2023,16.565779,6.243863,-1.725085,190.890106,-118.645470,-6.138803,268.037292
In which year did A series of changes to the judicial system take place?,2023,18.318420,1.147020,-6.434576,106.371788,-67.375992,6.662392,262.328979
In which year did LA Lakers beat NY Yankees in finals take place?,2023,14.939853,5.271828,-4.411259,183.417419,-101.648605,-6.000679,255.845306
In which year did Stanley Cup playoffs between NewYork and CA playoff take place?,2023,13.562848,6.801897,-3.645352,176.055054,-94.707649,-0.490745,255.106598
In which year did Lucha Libre World Cup was a professional wrestling take place?,2023,14.478307,5.870734,-5.789917,227.972336,-124.679955,-1.651113,268.626190
"In which year did Protests at several locations in Ireland started, take place?",2022,13.471687,5.995243,-5.386825,148.576263,-74.710503,0.251672,252.074799
